state,Sample,rep,dem,days_out,Other,end_date
Arizona,600,258,312,119,30,2020-07-07
Alaska,663,351,265,119,47,2020-07-07
Alaska,1081,422,368,118,291,2020-07-08
North Carolina,818,319,384,118,115,2020-07-08
Alabama,558,245,198,117,115,2020-07-09
Arizona,1087,457,500,116,130,2020-07-10
Texas,1179,519,424,116,236,2020-07-10
Montana,1224,539,563,116,122,2020-07-10
Michigan,1041,437,510,116,94,2020-07-10
Arizona,345,155,179,114,11,2020-07-12
Michigan,824,354,412,114,58,2020-07-12
North Carolina,655,275,321,114,59,2020-07-12
Kentucky,800,360,328,114,112,2020-07-12
Montana,873,428,410,113,35,2020-07-13
North Carolina,547,242,259,111,46,2020-07-15
Georgia,800,352,360,111,88,2020-07-15
Arizona,700,290,336,110,74,2020-07-16
Georgia,701,322,306,110,73,2020-07-16
Iowa,701,300,313,110,88,2020-07-16
Kentucky,700,387,232,110,81,2020-07-16
Michigan,700,261,331,110,108,2020-07-16
Montana,701,330,307,110,64,2020-07-16
North Carolina,700,278,283,110,139,2020-07-16
Michigan,600,237,308,110,55,2020-07-16
South Carolina,604,290,248,109,66,2020-07-17
South Carolina,800,344,328,107,128,2020-07-19
Texas,750,356,280,106,114,2020-07-20
South Carolina,591,290,266,106,35,2020-07-20
Texas,880,414,334,106,132,2020-07-20
Michigan,756,287,363,106,106,2020-07-20
Michigan,600,201,243,105,156,2020-07-21
North Carolina,919,331,432,105,156,2020-07-21
Michigan,754,294,369,104,91,2020-07-22
Arizona,826,339,438,104,49,2020-07-22
North Carolina,882,362,441,104,79,2020-07-22
Arizona,816,343,416,104,57,2020-07-22
Arizona,858,300,455,103,103,2020-07-23
Maine,561,236,264,103,61,2020-07-23
North Carolina,939,376,451,103,112,2020-07-23
Minnesota,1218,475,585,103,158,2020-07-23
Maine,888,346,391,102,151,2020-07-24
North Carolina,735,317,315,102,103,2020-07-24
Michigan,811,284,422,102,105,2020-07-24
Arizona,873,375,436,102,62,2020-07-24
Michigan,927,352,501,102,74,2020-07-24
Arizona,908,327,472,100,109,2020-07-26
Colorado,616,259,296,100,61,2020-07-26
Georgia,1337,602,562,100,173,2020-07-26
Michigan,1320,462,647,100,211,2020-07-26
North Carolina,1504,556,692,100,256,2020-07-26
Arizona,365,164,172,100,29,2020-07-26
Michigan,413,182,198,100,33,2020-07-26
North Carolina,284,114,148,100,22,2020-07-26
Georgia,402,201,173,99,28,2020-07-27
Georgia,402,205,173,99,24,2020-07-27
New Hampshire,1893,663,1022,98,208,2020-07-28
Texas,700,301,294,97,105,2020-07-29
Kentucky,3020,1480,1389,97,151,2020-07-29
Michigan,876,342,412,97,122,2020-07-29
Oklahoma,572,286,194,96,92,2020-07-30
Michigan,600,240,300,96,60,2020-07-30
Iowa,500,180,200,96,120,2020-07-30
North Carolina,1121,437,538,95,146,2020-07-31
Georgia,1101,495,473,95,133,2020-07-31
Montana,584,292,255,93,37,2020-08-02
Alabama,609,317,213,93,79,2020-08-02
Kentucky,793,420,285,93,88,2020-08-02
South Carolina,741,326,319,93,96,2020-08-02
Texas,2576,1133,979,93,464,2020-08-02
Arizona,1215,486,608,93,121,2020-08-02
Iowa,1101,473,495,93,133,2020-08-02
Maine,866,390,416,93,60,2020-08-02
North Carolina,1170,480,573,93,117,2020-08-02
Iowa,401,192,188,92,21,2020-08-03
Kentucky,909,445,400,92,64,2020-08-03
Maine,807,347,379,92,81,2020-08-03
South Carolina,914,402,402,92,110,2020-08-03
Kansas,864,372,363,89,129,2020-08-06
