date,state,candidate,lower,mean,upper
2020-07-01,Alabama,dem,0.40036247627796673,0.4386518265257232,0.47679426044178386
2020-07-01,Alabama,other,0.0215909430766037,0.05946847088236593,0.09718910623964996
2020-07-01,Alabama,rep,0.5202040757657742,0.562074694628891,0.6043384929367577
2020-07-01,Alaska,dem,0.1256498787765966,0.19320703949617068,0.26271191449098213
2020-07-01,Alaska,other,0.39877413978291604,0.46731599393738327,0.5359338239741488
2020-07-01,Alaska,rep,0.32733394577774894,0.39849951600527883,0.4706952851477621
2020-07-01,Arizona,dem,0.4945281672916136,0.5300602431486734,0.565803271115337
2020-07-01,Arizona,other,0.027729737208160986,0.06323260510150017,0.09944128974065601
2020-07-01,Arizona,rep,0.42687606680492546,0.4663421304234949,0.5059129160912436
2020-07-01,Arkansas,dem,0.36864261082253075,0.4379100966448968,0.5065931256941916
2020-07-01,Arkansas,other,0.01,0.06894336928395428,0.13846440339130156
2020-07-01,Arkansas,rep,0.48205379656944114,0.5528217765475496,0.6240381548043581
2020-07-01,Colorado,dem,0.5259913289648626,0.5690437479102194,0.6121624674011908
2020-07-01,Colorado,other,0.03742515393303336,0.07912280553859802,0.12137414602665933
2020-07-01,Colorado,rep,0.3653066742914728,0.4117204644420733,0.4578745473860762
2020-07-01,Delaware,dem,0.5484240489625227,0.6178451228245245,0.686730445731804
2020-07-01,Delaware,other,0.01,0.07113589679690668,0.13973662160211267
2020-07-01,Delaware,rep,0.300436122507244,0.37109650516289067,0.4423961052096824
2020-07-01,Georgia,dem,0.4467966997993297,0.4843798176003249,0.5220096307287687
2020-07-01,Georgia,other,0.04237291854183821,0.07969035537022087,0.11675963589734678
2020-07-01,Georgia,rep,0.4547913572293806,0.49611978013894237,0.5372719745213402
2020-07-01,Idaho,dem,0.2838706268321876,0.35367204016945286,0.42372080994885414
2020-07-01,Idaho,other,0.019904350278869977,0.08891028961672337,0.15987136143196545
2020-07-01,Idaho,rep,0.5459331428184623,0.6162707215713565,0.6880443010743434
2020-07-01,Illinois,dem,0.5554309098566498,0.6248684878056472,0.6928055111849102
2020-07-01,Illinois,other,0.013523822578719839,0.08243199920729957,0.15241460860181108
2020-07-01,Illinois,rep,0.2808410665601975,0.3526297878140362,0.42566250016186846
2020-07-01,Iowa,dem,0.432338692869872,0.47026587359934624,0.5081001745480859
2020-07-01,Iowa,other,0.02407298209479882,0.06185670892108944,0.09986346088816457
2020-07-01,Iowa,rep,0.48592210667377855,0.5275728849647137,0.5700463835402226
2020-07-01,Kansas,dem,0.3792326266678717,0.4189892760986207,0.4580269016673298
2020-07-01,Kansas,other,0.0572986779547802,0.09564049495189475,0.13468348947101155
2020-07-01,Kansas,rep,0.5026687602648218,0.5452857546248544,0.5881724526141537
2020-07-01,Kentucky,dem,0.4252400847203307,0.4653665247409665,0.5052432394863109
2020-07-01,Kentucky,other,0.02861905311898186,0.06727913262671015,0.1061390523082407
2020-07-01,Kentucky,rep,0.48366425223228837,0.5270410580852565,0.5704615891322494
2020-07-01,Louisiana,dem,0.35894933925863776,0.42903680591160565,0.4977459787860382
2020-07-01,Louisiana,other,0.01,0.05565453837188352,0.12549091902472148
2020-07-01,Louisiana,rep,0.5039631448846479,0.5748903451854588,0.6463366448783106
2020-07-01,Maine,dem,0.37909154516276916,0.4202534824436379,0.4609986343200479
2020-07-01,Maine,other,0.03219737216069523,0.07220139220809252,0.11206887547307
2020-07-01,Maine,rep,0.5229987710474348,0.5677681330244153,0.6122448900465809
2020-07-01,Massachusetts,dem,0.5511696610269681,0.6214725175876815,0.691048234607389
2020-07-01,Massachusetts,other,0.014171262795016064,0.08331731999537746,0.15244471624277878
2020-07-01,Massachusetts,rep,0.28336209560085923,0.35515930639228577,0.42696098120528736
2020-07-01,Michigan,dem,0.49721159997581066,0.5328029446796274,0.568601341180941
2020-07-01,Michigan,other,0.054436025288088705,0.09039019587805727,0.12561409029448442
2020-07-01,Michigan,rep,0.3978186627556084,0.4369548417535798,0.47670399874019365
2020-07-01,Minnesota,dem,0.5148166614502832,0.5849459457906794,0.6532840551457653
2020-07-01,Minnesota,other,0.020476834966811505,0.08875957232182345,0.15831325807870836
2020-07-01,Minnesota,rep,0.31440377936433794,0.38676379613813805,0.45844570370664617
2020-07-01,Mississippi,dem,0.40106409794020126,0.44412723410489324,0.4871470991362668
2020-07-01,Mississippi,other,0.022716861634665398,0.06473578428405202,0.10744126827053133
2020-07-01,Mississippi,rep,0.5045568066629683,0.5512784943003919,0.5971946291988396
2020-07-01,Montana,dem,0.4707766616256568,0.5158426493337739,0.5608069602189187
2020-07-01,Montana,other,0.031313963122255206,0.07503280192799744,0.11898801679360127
2020-07-01,Montana,rep,0.4212439206659325,0.4689605441609822,0.5175003064694262
2020-07-01,Nebraska,dem,0.3344775320437359,0.4051126470107539,0.47351118896212013
2020-07-01,Nebraska,other,0.01395337638686777,0.08445287185442185,0.1549792838480194
2020-07-01,Nebraska,rep,0.4974004784136491,0.5708935445474084,0.6427473521298147
2020-07-01,New Hampshire,dem,0.5296916719991694,0.5783367996704675,0.6262552225109418
2020-07-01,New Hampshire,other,0.012406499007184917,0.06145940643901539,0.10992033510603862
2020-07-01,New Hampshire,rep,0.3688578953931398,0.42051995046466645,0.4714506822331471
2020-07-01,New Jersey,dem,0.5081859842907914,0.561883787263382,0.6154612686926002
2020-07-01,New Jersey,other,0.01,0.06172741774964552,0.11664579367280692
2020-07-01,New Jersey,rep,0.380139496823254,0.4361054890570047,0.4923937920671577
