date,candidate,lower,mean,upper
2020-04-01,biden,0.40836180171152625,0.45117696573430066,0.4933651372045964
2020-04-01,other,0.09642254542391306,0.12143878844258765,0.14862063973444353
2020-04-01,trump,0.384965000065418,0.4268077163492594,0.46930583853399693
2020-04-02,biden,0.4082475525126195,0.45010933772704004,0.4931463106775571
2020-04-02,other,0.09609016814642696,0.12096133255798616,0.14830153911797017
2020-04-02,trump,0.38563440077611444,0.4280624790600904,0.4698887136136442
2020-04-03,biden,0.4068252587737309,0.4493543184197832,0.49093027192616157
2020-04-03,other,0.09591104579550397,0.12153362401651735,0.1486913994483871
2020-04-03,trump,0.3868345631256758,0.4286943336482558,0.47090073713492
2020-04-04,biden,0.40913689503553513,0.4508379390411106,0.4921341072199848
2020-04-04,other,0.0976761092852999,0.12259755777453457,0.1496750072384756
2020-04-04,trump,0.38563650603587996,0.42562710335921383,0.46746820205187634
2020-04-05,biden,0.40964769616106544,0.4511182918562563,0.4924282754524482
2020-04-05,other,0.09755181193597025,0.12308393623240005,0.15053004911546702
2020-04-05,trump,0.3843267966227393,0.425356786616391,0.46626172505187213
2020-04-06,biden,0.4082525413242022,0.44975587866078603,0.4914154446022666
2020-04-06,other,0.0970983892528507,0.12205564164420771,0.14902106630074216
2020-04-06,trump,0.3858948793714633,0.4277605282878931,0.4683068265440725
2020-04-07,biden,0.4106881656276797,0.4512287381614294,0.49220396301146196
2020-04-07,other,0.09618960559179465,0.12099424820314783,0.14758219156509453
2020-04-07,trump,0.3863439640973298,0.4268928938666595,0.4682715706077923
2020-04-08,biden,0.4162943299241128,0.45653831223846797,0.496279391881575
2020-04-08,other,0.09439669939881883,0.1188230062121288,0.14551123885122536
2020-04-08,trump,0.3845292085591263,0.42423461988710154,0.4640272766930079
2020-04-09,biden,0.4172963588810624,0.45750907787009576,0.4988518440869959
2020-04-09,other,0.09376469452467172,0.1182639782375352,0.14480818651732605
2020-04-09,trump,0.38328071363548394,0.4232666705262845,0.46352078654527085
2020-04-10,biden,0.4183481783877311,0.4585727749793076,0.4989238539468833
2020-04-10,other,0.09404629740719211,0.11846035331966465,0.14472981090804285
2020-04-10,trump,0.38265259762965576,0.42236037670603976,0.46213520792886476
2020-04-11,biden,0.4188059394029454,0.4584780999182919,0.4979947765130272
2020-04-11,other,0.09356883931355635,0.11797910840800666,0.14438499369287494
2020-04-11,trump,0.3835544658506783,0.42276459343595807,0.4624746004972758
2020-04-12,biden,0.418706034214237,0.45823757865780057,0.49811198977626575
2020-04-12,other,0.09377954077914079,0.11831481352387677,0.14457620567564772
2020-04-12,trump,0.3833686986734626,0.42266776101086806,0.462393851339532
2020-04-13,biden,0.419353822815708,0.4584351938676907,0.4969170123496316
2020-04-13,other,0.09465271206891604,0.11872152089318105,0.14451221460146596
2020-04-13,trump,0.3845057697596211,0.4226594126344972,0.46065575593786706
2020-04-14,biden,0.4190439329980761,0.4577299400817524,0.4981391678610516
2020-04-14,other,0.09486499191356663,0.11891984164304084,0.1455134678925834
2020-04-14,trump,0.38244481384713735,0.42273976010012715,0.4613237359659957
2020-04-15,biden,0.4221126064570973,0.45999855289649616,0.4989607572603096
2020-04-15,other,0.09235621982861664,0.11658469662153467,0.14190225082584104
2020-04-15,trump,0.38516061242348554,0.42309135120426533,0.46064161778603446
2020-04-16,biden,0.4213891595190322,0.4594093204321461,0.49780103694149075
2020-04-16,other,0.09202373720522392,0.11591618038976964,0.14158848014286743
2020-04-16,trump,0.38607106487201487,0.42397851147680765,0.4619251037883738
2020-04-17,biden,0.4220640555885064,0.459570431503848,0.49693754077874486
2020-04-17,other,0.0909081273606385,0.11499162574584026,0.1402431972672384
2020-04-17,trump,0.3877219807887272,0.42488388069280225,0.4621743505170538
2020-04-18,biden,0.4249839763823178,0.4618482799136553,0.4982797666524636
2020-04-18,other,0.09003451074858768,0.11393928310292395,0.1388225145141362
2020-04-18,trump,0.38667786314056496,0.4241357174291216,0.4604756044801938
2020-04-19,biden,0.42590799711368554,0.46187346511443567,0.49745616487407274
2020-04-19,other,0.08890567480876821,0.11170558566382671,0.13636957149626722
2020-04-19,trump,0.3902789825656991,0.4258497715230197,0.4614739467140921
2020-04-20,biden,0.423968106963518,0.4598049267826146,0.4950041238732076
2020-04-20,other,0.09270644075589259,0.11662031676889117,0.1421488750314286
2020-04-20,trump,0.38823346995789243,0.42338235913244604,0.45804066854767184
2020-04-21,biden,0.4291858355562595,0.46323234446128814,0.49753422105620787
2020-04-21,other,0.08951896597082384,0.1126005471020414,0.13708624979613576
2020-04-21,trump,0.3896561483065203,0.4234278891376313,0.4579259435949419
2020-04-22,biden,0.4299845730978193,0.4640740033113733,0.49767837991086317
2020-04-22,other,0.08980730666504472,0.11249046980517033,0.13630253955057003
2020-04-22,trump,0.3897329324932288,0.42326502120531073,0.4565967596199429
2020-04-23,biden,0.4324546650839012,0.46551286448981105,0.49924180857934497
2020-04-23,other,0.08839279011135472,0.11120810670307299,0.13526063166809943
2020-04-23,trump,0.38985072404883225,0.4227362038982714,0.45561593338030526
2020-04-24,biden,0.4325905239372216,0.46560604671995487,0.49890786210164656
2020-04-24,other,0.08865614163804816,0.11124519412482231,0.13457328327041487
2020-04-24,trump,0.3900216466857473,0.4226730819467074,0.4556689582382579
2020-04-25,biden,0.43242468819399993,0.4660336255578582,0.4988713161466268
2020-04-25,other,0.08935732716114814,0.1123331425304166,0.13580847495302983
2020-04-25,trump,0.3889390962052865,0.421634407369755,0.45472507070002016
2020-04-26,biden,0.43352893052730995,0.46700896597011765,0.49953823768153166
