date,district,lower_rep,mean_rep,upper_rep,lower_dem,mean_dem,upper_dem
2020-06-07,Alabama-1,0.5409123601726122,0.6455576631745767,0.7378988194617062,0.2384320192225392,0.33220473243805143,0.4335918888926333
2020-06-07,Alabama-2,0.5369686687942251,0.6281576241056563,0.7163883871714434,0.2580800921054598,0.3462945667147947,0.4368480679485221
2020-06-07,Alabama-3,0.5836125490098897,0.6774036823508722,0.7698941691501157,0.20433419288626556,0.29895658872719666,0.39257619714936604
2020-06-07,Alabama-4,0.728590702613019,0.8203549466809003,0.9021557462344536,0.07411001301741257,0.1544930961455605,0.24528224843524282
2020-06-07,Alabama-5,0.5621531473636217,0.6548976541182077,0.7412016612850327,0.235376852875068,0.32299479889447835,0.4170337872865082
2020-06-07,Alabama-6,0.6320011794623256,0.727713514981005,0.813834118967786,0.16246417666910629,0.24880501879885486,0.34322614876720414
2020-06-07,Alabama-7,0.012947764565592625,0.06462020499732676,0.1456289928844615,0.8143344423154986,0.8918850130475091,0.9428694809176296
2020-06-07,Alaska-0,0.49621273867350135,0.5803732200064421,0.672806173442051,0.29930185144804544,0.39445288246265175,0.4784532861693476
2020-06-07,Arizona-1,0.3677543042189838,0.45838298204259165,0.549986941789135,0.42435447622789035,0.5191536409623162,0.6113373656160588
2020-06-07,Arizona-2,0.35962881433867855,0.44805918638159137,0.5394072363541181,0.43642416935946765,0.5297195752200722,0.6158302653616708
2020-06-07,Arizona-3,0.2623443739115012,0.36314300128281507,0.4627167287231859,0.5158862297564613,0.6143792918409889,0.7134912659909085
2020-06-07,Arizona-4,0.6254663206640148,0.7200226164319772,0.808050196244294,0.15728927455195066,0.2462752831554848,0.33882658493216783
2020-06-07,Arizona-5,0.5497182280802448,0.6395744360724203,0.7240756143667151,0.25351823255973094,0.33865972904355957,0.430758229369073
2020-06-07,Arizona-6,0.5146614266093561,0.5996216913609724,0.6869570570688637,0.2893175885993812,0.3786204865985354,0.464369335527879
2020-06-07,Arizona-7,0.013316893557640664,0.06600948358250894,0.14764720739421697,0.6996899944374133,0.7803511855172269,0.8343059135453923
2020-06-07,Arizona-8,0.5138491185801618,0.603243392815326,0.6899267802568395,0.28621482354171984,0.3758340095279804,0.4655141336663184
2020-06-07,Arizona-9,0.2953695351539895,0.3908075690597208,0.4811655068644263,0.4947237166479426,0.5864450609391728,0.6848811486423911
2020-06-07,Arkansas-1,0.6392410944787047,0.7253353931910933,0.819340202715689,0.13722249998656283,0.23135377464400325,0.3196143805384919
2020-06-07,Arkansas-2,0.474231013516935,0.5735265010852535,0.6650879412737801,0.294898807172669,0.3850358129741207,0.4832433426139675
2020-06-07,Arkansas-3,0.5964448208065005,0.6848064613177862,0.7749096114388904,0.1780164514345861,0.2677732461803659,0.3612255553162608
2020-06-07,Arkansas-4,0.615790768489348,0.7054875307450474,0.802068239693966,0.1594456918553251,0.25437684631487323,0.3425011926500531
2020-06-07,California-1,0.5078432985987158,0.5956237259538116,0.6896792474116745,0.28723141438811056,0.379731417261843,0.4674734255323808
2020-06-07,California-2,0.15096277517255938,0.243991954089053,0.3397324190691328,0.636276688225207,0.733429031699464,0.8250086388083454
2020-06-07,California-3,0.3289142539906642,0.4202692133218125,0.5086846822694986,0.4691114587763532,0.5560288256858078,0.6467671462005664
2020-06-07,California-4,0.5026696774369159,0.5910392480882516,0.6810618593433323,0.29398919356607217,0.3862238986164226,0.47346575418996995
2020-06-07,California-5,0.012776741313139911,0.06337633305116759,0.1435265524473922,0.644054128223096,0.7225499996069937,0.7714589317503299
2020-06-07,California-6,0.04222441396388311,0.12537959390224707,0.22885193560540487,0.7495885008875209,0.8505752816730558,0.9353124791943923
2020-06-07,California-7,0.3502301512040238,0.44698180917681546,0.5404992128401807,0.4384562656496852,0.5293398202654045,0.6270358734988845
2020-06-07,California-8,0.7089709755201083,0.7912622477096471,0.8773069836566509,0.10028062183985564,0.1841604206376185,0.2664753963027637
2020-06-07,California-9,0.3439271041492569,0.43074138907274584,0.5251095006929629,0.45272828318093283,0.5459494421528017,0.6328782450510074
2020-06-07,California-10,0.38457463798055325,0.4716694601740375,0.5638099953022357,0.41378052892220646,0.5051593009754876,0.5932118720744757
2020-06-07,California-11,0.18266901685837342,0.27334456433703236,0.3691978516771904,0.6077490600937133,0.7041950364053629,0.7942174402390236
2020-06-07,California-12,0.07359290875932097,0.15930725423604142,0.2517949925813841,0.7252742204554522,0.8173386730276405,0.9055613356728698
2020-06-07,California-13,0.014620474349307376,0.06485051186547561,0.14116284196298984,0.7310646719372357,0.8070354385766811,0.8585637639917164
2020-06-07,California-14,0.13823268899225186,0.22665442107991582,0.317442444542012,0.6587000199615248,0.7513085860794109,0.8379148293150214
2020-06-07,California-15,0.19193823623206868,0.28304452063104657,0.38100992925619265,0.5959378513863065,0.693487009658988,0.7845171809440072
2020-06-07,California-16,0.3616541300093228,0.4543351958625162,0.5446485503126236,0.4316112954776441,0.5228888192279979,0.6148166737662291
2020-06-07,California-17,0.16937939146012781,0.2635705059104794,0.35181838829464285,0.6265992436929934,0.7150781360745635,0.8069246742071021
2020-06-07,California-18,0.1816522470263332,0.26555511877356036,0.36128294583150167,0.6167387518065964,0.7115583343817131,0.7977422016021017
2020-06-07,California-19,0.18472181128963416,0.2759798733869664,0.3682139323258967,0.6101284296104477,0.7000797413523085,0.7922955509233804
2020-06-07,California-20,0.011414274010422236,0.06291531057455851,0.14360217284722152,0.6667927738292297,0.7457181595033162,0.7968837607433358
